nom,email,role,groupe
Isabelle Barbier,isabelle.barbier@example.com,delegue_titulaire,6ème 1
Sandrine Roux,sandrine.roux@example.com,delegue_titulaire,6ème 2
Ernest Blanchard,ernest.blanchard@example.com,delegue_titulaire,6ème 3
Corinne Boyer,corinne.boyer@example.com,delegue_titulaire,6ème 4
Léonie Thomas,leonie.thomas@example.com,delegue_titulaire,5ème 1
Léopold Chevalier,leopold.chevalier@example.com,delegue_titulaire,5ème 2
Lucien Faure,lucien.faure@example.com,delegue_titulaire,5ème 3
Marthe Denis,marthe.denis@example.com,delegue_titulaire,5ème 4
Robert Girard,robert.girard@example.com,delegue_titulaire,4ème 1
Véronique Leroy,veronique.leroy@example.com,delegue_titulaire,4ème 2
Didier Robert,didier.robert@example.com,delegue_titulaire,4ème 3
Danielle Renard,danielle.renard@example.com,delegue_titulaire,4ème 4
Édouard Rodriguez,edouard.rodriguez@example.com,delegue_titulaire,3ème 1
Albert Duval,albert.duval@example.com,delegue_titulaire,3ème 2
André Arnaud,andre.arnaud@example.com,delegue_titulaire,3ème 3
Christine Lacroix,christine.lacroix@example.com,delegue_titulaire,3ème 4
Jeannine Dupuis,jeannine.dupuis@example.com,delegue_suppleant,6ème 1
Marguerite Roy,marguerite.roy@example.com,delegue_suppleant,6ème 2
François Faure,françois.faure@example.com,delegue_suppleant,6ème 3
Stéphane Picard,stephane.picard@example.com,delegue_suppleant,6ème 4
Alphonse Gerard,alphonse.gerard@example.com,delegue_suppleant,5ème 1
Bruno Fabre,bruno.fabre@example.com,delegue_suppleant,5ème 2
Augustine Dupuis,augustine.dupuis@example.com,delegue_suppleant,5ème 3
Véronique Richard,veronique.richard@example.com,delegue_suppleant,5ème 4
Victor Roussel,victor.roussel@example.com,delegue_suppleant,4ème 1
Nicole Leclercq,nicole.leclercq@example.com,delegue_suppleant,4ème 2
Marcelle Dufour,marcelle.dufour@example.com,delegue_suppleant,4ème 3
Suzanne Simon,suzanne.simon@example.com,delegue_suppleant,4ème 4
Marc Nguyen,marc.nguyen@example.com,delegue_suppleant,3ème 1
Gérard Picard,gerard.picard@example.com,delegue_suppleant,3ème 2
Paulette Caron,paulette.caron@example.com,delegue_suppleant,3ème 3
Raoul Vidal,raoul.vidal@example.com,delegue_suppleant,3ème 4
Chantal Faure,chantal.faure@example.com,delegue_suppleant;delegue_titulaire,4ème 2
Arthur Vidal,arthur.vidal@example.com,membre,3ème 4
Léonie Leclerc,leonie.leclerc@example.com,membre,6ème 4
Augustine Lacroix,augustine.lacroix@example.com,delegue_suppleant,6ème 3
Cécile Bernard,cecile.bernard@example.com,delegue_titulaire,4ème 2
Christian Lemoine,christian.lemoine@example.com,delegue_suppleant,6ème 3
Jules Vincent,jules.vincent@example.com,delegue_suppleant,3ème 3
Marcel David,marcel.david@example.com,membre,6ème 2
Chantal Schmitt,chantal.schmitt@example.com,delegue_suppleant,6ème 4
Pierre Rolland,pierre.rolland@example.com,membre,5ème 2
Andrée Dufour,andree.dufour@example.com,delegue_titulaire;membre,5ème 1;5ème 4;3ème 3
François Robin,françois.robin@example.com,delegue_titulaire,3ème 2
Julie Nguyen,julie.nguyen@example.com,membre;delegue_suppleant,3ème 4
Maurice Mathieu,maurice.mathieu@example.com,membre,3ème 4
Fernand Robert,fernand.robert@example.com,membre,4ème 4
Raymond Marchand,raymond.marchand@example.com,delegue_suppleant,5ème 3
François Michel,françois.michel@example.com,membre,3ème 1
Stéphane Gaillard,stephane.gaillard@example.com,delegue_titulaire,6ème 1
Claire Da Silva,claire.da silva@example.com,delegue_titulaire,3ème 1
Martine François,martine.françois@example.com,delegue_suppleant,4ème 2;6ème 3;3ème 1
Yvette Renaud,yvette.renaud@example.com,delegue_titulaire,3ème 4
Maurice Caron,maurice.caron@example.com,delegue_suppleant,3ème 3
Daniel Perez,daniel.perez@example.com,membre,3ème 2
Léon Fabre,leon.fabre@example.com,delegue_suppleant,3ème 4
Michèle François,michele.françois@example.com,membre,6ème 2
Daniel Blanchard,daniel.blanchard@example.com,membre,6ème 1
Dominique Morin,dominique.morin@example.com,membre,4ème 2
Christophe Renaud,christophe.renaud@example.com,delegue_titulaire,3ème 3
Christian Lefebvre,christian.lefebvre@example.com,delegue_titulaire,6ème 1
Marcel Roger,marcel.roger@example.com,membre,5ème 3
Thomas Olivier,thomas.olivier@example.com,delegue_suppleant,3ème 4
Thomas Picard,thomas.picard@example.com,membre,4ème 4
Céline Guerin,celine.guerin@example.com,delegue_titulaire;membre,4ème 3
Augustine Dumont,augustine.dumont@example.com,delegue_suppleant,4ème 2;3ème 1;5ème 3
Laurence Leroy,laurence.leroy@example.com,membre,6ème 1
Nicolas Roger,nicolas.roger@example.com,delegue_suppleant,5ème 2
Véronique Clement,veronique.clement@example.com,membre,4ème 3
Nicolas Lopez,nicolas.lopez@example.com,membre;delegue_suppleant,4ème 1;5ème 3
Yvonne Faure,yvonne.faure@example.com,delegue_suppleant,3ème 3
Arthur Muller,arthur.muller@example.com,delegue_suppleant,6ème 1
Augustine Legrand,augustine.legrand@example.com,membre,4ème 2
Arthur Dubois,arthur.dubois@example.com,membre,3ème 1
Thomas Michel,thomas.michel@example.com,membre,6ème 2
Françoise Martin,françoise.martin@example.com,delegue_titulaire,5ème 3
Patrick Leclerc,patrick.leclerc@example.com,membre,5ème 2
Marie Girard,marie.girard@example.com,delegue_suppleant,6ème 1
Christine Roger,christine.roger@example.com,membre,6ème 4
Chantal Bernard,chantal.bernard@example.com,delegue_suppleant,5ème 3;5ème 1;4ème 4
Nicole Fontaine,nicole.fontaine@example.com,delegue_suppleant;membre,6ème 4;6ème 3
Jacques Masson,jacques.masson@example.com,delegue_suppleant,5ème 1
Victor Fontaine,victor.fontaine@example.com,delegue_suppleant,6ème 1
Stéphane Lefebvre,stephane.lefebvre@example.com,membre,5ème 1
Luc Lucas,luc.lucas@example.com,delegue_titulaire,6ème 2;3ème 1;5ème 4
Céline François,celine.françois@example.com,delegue_titulaire,6ème 1
Thierry Muller,thierry.muller@example.com,delegue_suppleant,3ème 2
Odette Meyer,odette.meyer@example.com,delegue_titulaire,4ème 3;3ème 1;3ème 2
Édouard Richard,edouard.richard@example.com,delegue_suppleant;membre,3ème 2
Simone Clement,simone.clement@example.com,membre,4ème 2
Marcel Pierre,marcel.pierre@example.com,membre,4ème 2
Alain Barbier,alain.barbier@example.com,delegue_suppleant,5ème 4
Christine Leclercq,christine.leclercq@example.com,membre,3ème 3
Jacques Martinez,jacques.martinez@example.com,membre,5ème 3
Gilbert Leclercq,gilbert.leclercq@example.com,delegue_titulaire,5ème 3;6ème 1
Françoise Roche,françoise.roche@example.com,membre,6ème 4
Raymond Robin,raymond.robin@example.com,delegue_titulaire,3ème 2;4ème 4;6ème 2
Albert Mercier,albert.mercier@example.com,membre,4ème 3
Sylvie Bernard,sylvie.bernard@example.com,delegue_suppleant,4ème 3
Didier Guerin,didier.guerin@example.com,delegue_suppleant,4ème 2;4ème 4;3ème 3
Luc Philippe,luc.philippe@example.com,delegue_titulaire,6ème 2
Nicolas Robin,nicolas.robin@example.com,membre;delegue_suppleant,4ème 3
Yvette Mathieu,yvette.mathieu@example.com,membre,5ème 2
Andrée Jean,andree.jean@example.com,delegue_suppleant;delegue_titulaire,3ème 4
Bruno Boyer,bruno.boyer@example.com,membre,3ème 2
Blanche Mercier,blanche.mercier@example.com,delegue_suppleant;delegue_titulaire,6ème 4;3ème 4
Henriette Jean,henriette.jean@example.com,membre,4ème 2
Ernest Durand,ernest.durand@example.com,delegue_titulaire,6ème 4
Françoise Guerin,françoise.guerin@example.com,membre,3ème 3
Philippe Nicolas,philippe.nicolas@example.com,delegue_titulaire,3ème 3;5ème 2
Josiane Dupuis,josiane.dupuis@example.com,delegue_titulaire;delegue_suppleant,5ème 1
Alphonse Durand,alphonse.durand@example.com,membre,3ème 4
Isabelle Roussel,isabelle.roussel@example.com,delegue_titulaire,5ème 2;6ème 3
Roger Fernandez,roger.fernandez@example.com,delegue_titulaire,4ème 1
Sandrine Lopez,sandrine.lopez@example.com,membre,3ème 4
Isabelle Robert,isabelle.robert@example.com,membre,4ème 3
Marcelle Lopez,marcelle.lopez@example.com,delegue_titulaire,5ème 4
Édouard Bourgeois,edouard.bourgeois@example.com,delegue_titulaire,6ème 3
Martine Marchand,martine.marchand@example.com,membre;delegue_titulaire,4ème 3;4ème 1;5ème 4
Marie Lemoine,marie.lemoine@example.com,delegue_titulaire,6ème 3
Léon Bonnet,leon.bonnet@example.com,delegue_titulaire,5ème 1
Michèle Mathieu,michele.mathieu@example.com,membre,5ème 3
Marc Lambert,marc.lambert@example.com,membre,6ème 2
Thierry Durand,thierry.durand@example.com,membre,4ème 4
Émile Brunet,emile.brunet@example.com,delegue_suppleant,6ème 1
Brigitte Clement,brigitte.clement@example.com,membre;delegue_titulaire,4ème 1
Christian Rousseau,christian.rousseau@example.com,membre,6ème 4
Gérard Schmitt,gerard.schmitt@example.com,delegue_suppleant,6ème 1
Bruno Renaud,bruno.renaud@example.com,membre,5ème 3
Marie Meunier,marie.meunier@example.com,delegue_suppleant,5ème 1
Pierre Nicolas,pierre.nicolas@example.com,membre,3ème 2
Robert Michel,robert.michel@example.com,delegue_titulaire,3ème 1
Didier Marchand,didier.marchand@example.com,membre;delegue_suppleant,3ème 4
Nicole David,nicole.david@example.com,membre,3ème 3
Lucienne Nguyen,lucienne.nguyen@example.com,membre,3ème 1
Henriette Morin,henriette.morin@example.com,delegue_suppleant,4ème 2
Didier Dumont,didier.dumont@example.com,delegue_titulaire,6ème 3
Didier Thomas,didier.thomas@example.com,delegue_suppleant,5ème 1
Julie Blanc,julie.blanc@example.com,membre;delegue_suppleant,5ème 4
Marthe Gautier,marthe.gautier@example.com,membre,5ème 4
Cécile Girard,cecile.girard@example.com,delegue_titulaire,5ème 2;4ème 3;4ème 4
Odette Boyer,odette.boyer@example.com,delegue_suppleant,6ème 1
Hélène Renard,helene.renard@example.com,membre,6ème 2
Didier Philippe,didier.philippe@example.com,membre,6ème 2
Daniel Lemaire,daniel.lemaire@example.com,delegue_titulaire,6ème 3
Albert Gerard,albert.gerard@example.com,delegue_titulaire,6ème 4
Ernest Brun,ernest.brun@example.com,delegue_titulaire,3ème 4
Philippe Robin,philippe.robin@example.com,membre,4ème 1
Denise Lemoine,denise.lemoine@example.com,delegue_titulaire,4ème 2
Marie Meunier,marie.meunier2@example.com,membre,6ème 3
Andrée Gautier,andree.gautier@example.com,delegue_titulaire,4ème 1;3ème 3;4ème 3
Nathalie David,nathalie.david@example.com,delegue_titulaire,6ème 3
Georges Nicolas,georges.nicolas@example.com,membre,6ème 1
Yvonne Lacroix,yvonne.lacroix@example.com,delegue_titulaire,4ème 2
Suzanne Moreau,suzanne.moreau@example.com,delegue_suppleant,4ème 1
Serge Martinez,serge.martinez@example.com,delegue_titulaire;delegue_suppleant,4ème 4
Michel Arnaud,michel.arnaud@example.com,membre,6ème 4
Raymond Fernandez,raymond.fernandez@example.com,membre,3ème 2
Alain Roger,alain.roger@example.com,membre,4ème 2;3ème 1
Alain Jean,alain.jean@example.com,delegue_suppleant,4ème 4
Alphonse Giraud,alphonse.giraud@example.com,delegue_titulaire,6ème 3
Arthur Pierre,arthur.pierre@example.com,membre,3ème 3
Yvonne Lopez,yvonne.lopez@example.com,membre,6ème 3
Henriette Roux,henriette.roux@example.com,delegue_suppleant,3ème 2
Céline Caron,celine.caron@example.com,delegue_suppleant,6ème 4
Nathalie Arnaud,nathalie.arnaud@example.com,delegue_titulaire,3ème 2
Suzanne Fontaine,suzanne.fontaine@example.com,delegue_titulaire,5ème 2
Robert Olivier,robert.olivier@example.com,delegue_suppleant,4ème 3
Denise Caron,denise.caron@example.com,membre,3ème 2
Laurence Dupont,laurence.dupont@example.com,membre,4ème 1;6ème 2;6ème 4
Daniel Lambert,daniel.lambert@example.com,membre,5ème 4
Andrée Leroy,andree.leroy@example.com,delegue_suppleant,3ème 1
Josiane Garcia,josiane.garcia@example.com,delegue_titulaire,3ème 3
Nathalie Lefebvre,nathalie.lefebvre@example.com,membre,4ème 2;6ème 2
Albert Garnier,albert.garnier@example.com,delegue_suppleant,3ème 4
Jeanne Giraud,jeanne.giraud@example.com,delegue_titulaire,6ème 4
Françoise Gautier,françoise.gautier@example.com,membre;delegue_titulaire,3ème 2
Lucie Meyer,lucie.meyer@example.com,delegue_titulaire,6ème 3
Bernard Roy,bernard.roy@example.com,membre,5ème 4
Jeanne Dumont,jeanne.dumont@example.com,delegue_titulaire,6ème 3
Colette Martinez,colette.martinez@example.com,delegue_suppleant,6ème 4
Blanche Roche,blanche.roche@example.com,membre,5ème 1
Thérèse Lucas,therese.lucas@example.com,delegue_suppleant,5ème 1
Léopold Garcia,leopold.garcia@example.com,delegue_titulaire,3ème 1
Nathalie Faure,nathalie.faure@example.com,delegue_titulaire,4ème 1;4ème 4
Eugène Thomas,eugene.thomas@example.com,membre;delegue_titulaire,3ème 2
Bruno François,bruno.françois@example.com,delegue_titulaire,6ème 1
Bernard Durand,bernard.durand@example.com,membre,5ème 4;4ème 1;6ème 4
Corinne Noel,corinne.noel@example.com,delegue_titulaire,4ème 3
Germaine Legrand,germaine.legrand@example.com,delegue_titulaire,6ème 2
Josiane Barbier,josiane.barbier@example.com,delegue_titulaire;membre,5ème 1
Léonie Sanchez,leonie.sanchez@example.com,delegue_suppleant,5ème 2;3ème 2;6ème 2
Lucie Gauthier,lucie.gauthier@example.com,membre,5ème 1
Léon Rousseau,leon.rousseau@example.com,delegue_suppleant,5ème 1
Philippe Joly,philippe.joly@example.com,delegue_titulaire,3ème 3
Marcelle Perez,marcelle.perez@example.com,membre;delegue_titulaire,3ème 2
Stéphane Simon,stephane.simon@example.com,delegue_suppleant,4ème 3
Jacques Robert,jacques.robert@example.com,delegue_titulaire;membre,4ème 1;4ème 2;6ème 1
Jules Dumas,jules.dumas@example.com,delegue_suppleant,3ème 1
Marie Dupont,marie.dupont@example.com,membre,6ème 3
Dominique Joly,dominique.joly@example.com,delegue_suppleant,6ème 1
Thomas Gauthier,thomas.gauthier@example.com,delegue_suppleant,4ème 1
Yves Marchand,yves.marchand@example.com,delegue_titulaire,6ème 1
Marthe Michel,marthe.michel@example.com,membre;delegue_titulaire,5ème 2
Monique Clement,monique.clement@example.com,membre,4ème 1
Chantal Vincent,chantal.vincent@example.com,delegue_titulaire,4ème 2
André Leroux,andre.leroux@example.com,delegue_suppleant,5ème 4
Françoise Philippe,françoise.philippe@example.com,membre,3ème 2
Daniel Henry,daniel.henry@example.com,delegue_titulaire,3ème 2
Claire Rolland,claire.rolland@example.com,delegue_suppleant,3ème 2;3ème 4;4ème 4
René Guerin,rene.guerin@example.com,delegue_titulaire,3ème 3
François Renaud,françois.renaud@example.com,delegue_suppleant,4ème 2
Albert Bernard,albert.bernard@example.com,delegue_suppleant,5ème 2
Michèle Michel,michele.michel@example.com,delegue_titulaire,3ème 2
Nicole Noel,nicole.noel@example.com,membre,3ème 2
Brigitte Garnier,brigitte.garnier@example.com,membre;delegue_titulaire,3ème 2
Albert Durand,albert.durand@example.com,delegue_titulaire,6ème 1;5ème 1
Henriette Laurent,henriette.laurent@example.com,delegue_titulaire,5ème 3;6ème 2;6ème 1
Madeleine Morin,madeleine.morin@example.com,delegue_suppleant,6ème 3
Luc Meyer,luc.meyer@example.com,delegue_suppleant,6ème 1;5ème 3;6ème 4
François Lambert,françois.lambert@example.com,membre,4ème 4
